년	월	날짜	부품내용	 금액 	 단가 	 주행거리 	경유량( liter)	 실거리Km 	 ?Km/1L 	주유소	비고
2015	10	2015-10-08	경유	" ?50,000 "	" ?1,213 "	 55 	41.220	 - 	 - 	현대오일뱅크㈜직영능곡현대주유소 	경기도 시흥시 군자동 113 140-85-21852 권오감 031-497-5187
2015	10	2015-10-14	경유	" ?50,000 "	" ?1,236 "	 410 	40.453	 355 	 8.61 	차사랑주유소	경기도 오산시 오산동 851-4 이희광 031-375-8551 124-40-01830
2015	10	2015-10-16	경유	" ?60,000 "	" ?1,197 "	 840 	50.125	 430 	 10.63 	현대오일뱅크광장주유소	인천 남동구 남동대로 462 032-467-5050-우종구139-81-10921
2015	10	2015-10-20	경유	" ?50,000 "	" ?1,193 "	" 1,289 "	41.911	 449 	 8.96 	대안주유소	경기도 시흥시 논곡동 312 032-403-8117 방현석 133-23-65054
2015	10	2015-10-21	경유	" ?60,000 "	" ?1,198 "	" 1,766 "	50.083	 477 	 11.38 	대원평등우리주유소	광주 광산구 동곡로 655 박찬석 062-943-7319 410-85-50290
2015	10	2015-10-26	경유	" ?60,000 "	" ?1,167 "	" 2,328 "	51.414	 562 	 11.22 	이조주유소	인천 부평구 경원대로 1049 032-578-5151 김동성 311-81-30679
2015	10	2015-10-30	경유	" ?60,000 "	" ?1,185 "	" 2,937 "	50.633	 609 	 11.85 	삼미상사㈜지지대	경기도 의왕시 왕곡동 468-8 배은구 031-454-0448 138-85-26957
2015	11	2015-11-05	경유	" ?40,000 "	" ?1,198 "	" 3,496 "	33.389	 559 	 11.04 	문광주유소	인천 남동구 간석동 237-2 032-433-4392 131-85-27810 송진수
2015	11	2015-11-06	경유	" ?60,000 "	" ?1,185 "	" 3,882 "	50.633	 386 	 11.56 	현대오일뱅크㈜직영 현대Self주유소	인천 부평구 경인로 1195 032-502-7771 문종박 122-85-17638
2015	11	2015-11-13	경유	" ?60,000 "	" ?1,125 "	" 4,410 "	53.333	 528 	 10.43 	케이엔계남주유소	경기도 부천시 원미구 춘의동 408 032-682-0278 정재훈 130-86-43662
2015	11	2015-11-19	경유	" ?20,000 "	" ?1,337 "	" 4,982 "	14.959	 572 	 10.73 	패밀리주유소	경기도 광명시 범안로 864 이승기 02-899-5104 133-08-94309
2015	11	2015-11-20	경유	" ?60,000 "	" ?1,170 "	" 5,153 "	51.282	 171 	 11.43 	옥산주유소	충북 청원군 옥산면 오산리 555-2 043-269-0843 민정훈 301-85-09556
2015	11	2015-11-24	경유	" ?60,000 "	" ?1,195 "	" 5,667 "	50.209	 514 	 10.02 	대명주유소	경기 시흥시 소래로 18 031-318-8039 박하범 121-14-17561
2015	12	2015-12-01	경유	" ?60,000 "	" ?1,158 "	" 6,169 "	51.813	 502 	 10.00 	부자송산주유소	경기 화성시 송산면 고정리 349-26 031-357-8194 최병권 143-85-02146
2015	12	2015-12-03	경유	" ?39,712 "	" ?1,179 "	" 6,647 "	33.683	 478 	 9.23 	대원주유소	경기도 화성시 팔탄면 창곡리 703-4 130-01-31719 031-352-8185 전형구
2015	12	2015-12-07	경유	" ?60,000 "	" ?1,163 "	" 7,128 "	51.591	 481 	 14.28 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2015	12	2015-12-08	경유	" ?60,000 "	" ?1,160 "	" 7,655 "	51.724	 527 	 10.22 	진영(상)주유소	경남 김해 진영 하계 96 055-342-0876 남영선 615-85-28302
2015	12	2015-12-10	경유	" ?30,000 "	" ?1,198 "	" 8,203 "	25.042	 548 	 10.59 	오리주유소	경기도 광명시 소하동 1077
2015	12	2015-12-10	경유	" ?60,000 "	" ?1,159 "	" 8,501 "	51.769	 298 	 11.90 	대원평등우리주유소	광주 광산구 동곡로 655 박찬석 062-943-7319 410-85-50290
2015	12	2015-12-14	경유	" ?40,000 "	" ?1,198 "	" 9,117 "	33.389	 616 	 11.90 	오리주유소	경기도 광명시 소하동 1077
2015	12	2015-12-14	경유	" ?60,000 "	" ?1,155 "	" 9,486 "	51.948	 369 	 11.05 	경산(서울)주유소	경북 경산시 진량읍 대학로 1089 053-851-7025 노영훈 515-85-13421
2015	12	2015-12-15	경유	" ?60,000 "	" ?1,141 "	" 10,086 "	52.585	 600 	 11.55 	화성(서울방향)주유소	경기 화성시 팔탄면 덕천리 253
2015	12	2015-12-18	경유	" ?40,000 "	" ?1,187 "	" 10,576 "	33.698	 490 	 9.32 	태경상사	인천 부평구 청중로 109 백혜경 032-524-5189 231-81-02256
2015	12	2015-12-22	경유	" ?30,000 "	" ?1,199 "	" 10,896 "	25.021	#REF!	#REF!	세양산업	경기도 광명시 노온사동 572-3 133-81-38542 정세희 02-2684-0218
2015	12	2015-12-23	경유	" ?50,000 "	" ?1,139 "	" 11,119 "	43.898	 223 	 8.91 	대원주유소	경기도 화성시 팔탄면 창곡리 703-4 130-01-31719 031-352-8185 전형구
2015	12	2015-12-30	경유	" ?60,000 "	" ?1,169 "	" 11,643 "	51.326	 524 	 11.94 	영인개발 대야주유소	경기도 군포로 137 윤영묵 031-437-0633 413-87-00037
2016	1	2016-01-06	경유	" ?30,000 "	" ?1,198 "	" 12,217 "	25.042	 574 	 11.18 	한유에너지시흥주유소	경기도 시흥시 능곡동 504 박기흥 031-317-5187 140-85-02114
2016	1	2016-01-08	경유	" ?50,000 "	" ?1,157 "	" 12,514 "	43.215	 297 	 11.86 	현대오일뱅크(주)우신주유소	경기도 안양시 동안구 호계동 1026-10 123-85-20460 031-456-8574 권오갑
2016	1	2016-01-14	경유	" ?60,000 "	" ?1,067 "	" 12,806 "	56.232	 292 	 6.76 	문광주유소	인천시 남동구 간석동 237-2 
2016	1	2016-01-20	경유	" ?60,000 "	" ?1,090 "	" 13,485 "	55.046	 679 	 12.07 	한국도로공사안성(부산)주유소	경기도 안성시 원곡면 반제리 137-3 031-651-5385 김학송 125-82-11307
